"strain_1","strain_2","strain_3","name","media","init_OD","temperature","replicate","row","col","well","pH","anomalous","time","OD600","OD730","RFP","GFP","column"
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,3,"F",11,"F11",7.2,"no",2400,0.163,0.156,31,1750,11
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,4,"F",12,"F12",7.2,"no",2400,0.167,0.159,29,1752,12
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,1,"G",1,"G1",7,"no",2400,0.142,0.133,51,3095,1
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,2,"G",2,"G2",7,"no",2400,0.146,0.137,51,3146,2
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,3,"G",3,"G3",7,"no",2400,0.151,0.141,55,3145,3
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,4,"G",4,"G4",7,"no",2400,0.145,0.137,53,3078,4
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,1,"G",5,"G5",7.5,"no",2400,0.159,0.153,4,274,5
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,2,"G",6,"G6",7.5,"no",2400,0.152,0.146,6,286,6
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,3,"G",7,"G7",7.5,"no",2400,0.168,0.162,9,255,7
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,4,"G",8,"G8",7.5,"no",2400,0.159,0.156,6,264,8
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,1,"G",9,"G9",7.2,"no",2400,0.161,0.155,27,1764,9
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,2,"G",10,"G10",7.2,"no",2400,0.156,0.149,39,1743,10
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,3,"G",11,"G11",7.2,"no",2400,0.179,0.172,38,1739,11
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,4,"G",12,"G12",7.2,"no",2400,0.153,0.145,35,1780,12
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,1,"H",1,"H1",7,"no",2400,0.146,0.137,54,3016,1
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,2,"H",2,"H2",7,"no",2400,0.152,0.142,54,3122,2
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,3,"H",3,"H3",7,"no",2400,0.154,0.146,51,3099,3
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,4,"H",4,"H4",7,"no",2400,0.149,0.139,46,3034,4
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,1,"H",5,"H5",7.5,"no",2400,0.146,0.141,6,259,5
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,2,"H",6,"H6",7.5,"no",2400,0.155,0.15,6,251,6
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,3,"H",7,"H7",7.5,"no",2400,0.151,0.144,14,258,7
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,4,"H",8,"H8",7.5,"no",2400,0.165,0.157,8,277,8
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,1,"H",9,"H9",7.2,"no",2400,0.157,0.15,22,1781,9
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,2,"H",10,"H10",7.2,"no",2400,0.165,0.157,33,1766,10
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,3,"H",11,"H11",7.2,"no",2400,0.161,0.153,34,1762,11
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,4,"H",12,"H12",7.2,"no",2400,0.157,0.149,29,1746,12
"blank","blank","blank","Negative","LB",0.001,30,1,"A",1,"A1",7,"no",3600,0.154,0.145,49,3154,1
"blank","blank","blank","Negative","LB",0.001,30,2,"A",2,"A2",7,"no",3600,0.146,0.137,53,3163,2
"blank","blank","blank","Negative","LB",0.001,30,3,"A",3,"A3",7,"no",3600,0.154,0.146,52,3105,3
"blank","blank","blank","Negative","LB",0.001,30,4,"A",4,"A4",7,"no",3600,0.143,0.133,51,3188,4
"blank","blank","blank","Negative","BG11",0.001,30,1,"A",5,"A5",7.5,"no",3600,0.146,0.139,3,235,5
"blank","blank","blank","Negative","BG11",0.001,30,2,"A",6,"A6",7.5,"no",3600,0.155,0.15,5,223,6
"blank","blank","blank","Negative","BG11",0.001,30,3,"A",7,"A7",7.5,"no",3600,0.156,0.152,9,218,7
"blank","blank","blank","Negative","BG11",0.001,30,4,"A",8,"A8",7.5,"no",3600,0.153,0.147,11,229,8
"blank","blank","blank","Negative","LB + BG11",0.001,30,1,"A",9,"A9",7.2,"no",3600,0.147,0.14,28,1746,9
